City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
147,katsuura,35.1333,140.3,294.99,64,46,6.61,JP,1697670806
148,illizi,26.4833,8.4667,299.61,17,81,0.41,DZ,1697670807
149,kruisfontein,-34.0033,24.7314,287.91,93,49,0.37,ZA,1697670807
150,gua musang,4.8823,101.9644,295.46,97,99,0.24,MY,1697670808
151,ribeira grande,38.5167,-28.7,293.58,82,69,2.24,PT,1697670809
152,narsingi,18.0333,78.4333,294.04,75,2,1.43,IN,1697670810
153,ribeira brava,32.65,-17.0667,297.04,70,100,5.24,PT,1697670810
154,chonchi,-42.6128,-73.8092,283.77,89,52,1.33,CL,1697670811
155,usogorsk,63.4106,48.6872,276.3,87,100,3.81,RU,1697670811
156,connell,46.6635,-118.8611,296.51,40,11,2.14,US,1697670812
157,sos'va,59.1766,61.8558,278.18,58,49,5.81,RU,1697670812
158,flying fish cove,-10.4217,105.6791,298.97,83,75,4.63,CX,1697670813
159,ilmajoki,62.7333,22.5667,272.46,86,100,2.06,FI,1697670813
160,yatou,37.15,122.3833,290.06,72,100,4.02,CN,1697670813
161,portland,45.5234,-122.6762,297.59,54,20,1.54,US,1697670242
162,san julian,21.0167,-102.1667,294.85,22,100,2.73,MX,1697670814
163,luwuk,-0.9516,122.7875,300.54,73,48,2.36,ID,1697670815
164,machico,32.7,-16.7667,297.43,74,20,1.54,PT,1697670695
165,uturoa,-16.7333,-151.4333,299.49,77,34,5.44,PF,1697670816
166,sainte-agathe-des-monts,46.0501,-74.2825,282.27,80,89,1.67,CA,1697670604
167,pacific grove,36.6177,-121.9166,305.18,62,0,2.57,US,1697670699
168,langfang,39.5097,116.6947,287.68,21,85,3.61,CN,1697670817
169,dili,-8.5586,125.5736,301.88,50,67,1.14,TL,1697670557
170,ghadamis,30.1337,9.5007,299.31,18,25,4.64,LY,1697670819
171,lodeve,43.7167,3.3167,291.32,96,99,2.7,FR,1697670819
172,san andres,12.5847,-81.7006,302.16,84,20,3.09,CO,1697670820
173,fairwood,47.4484,-122.1573,297.0,46,0,4.12,US,1697670821
174,west plains,36.7281,-91.8524,293.61,54,0,2.57,US,1697670821
175,troy,42.6056,-83.1499,288.11,72,40,2.57,US,1697670699
176,bunia,1.5667,30.25,290.14,95,83,1.01,CD,1697670822
177,holualoa,19.6228,-155.9522,300.06,80,40,5.14,US,1697670822
178,fort bragg,35.139,-79.006,290.83,68,0,1.54,US,1697670823
179,vorgashor,67.5833,63.95,273.32,82,51,6.45,RU,1697670823
180,laguna,38.421,-121.4238,306.09,34,0,2.06,US,1697670823
181,funafuti,-8.5243,179.1942,303.15,89,75,4.63,TV,1697670783
182,taltal,-25.4,-70.4833,291.37,65,16,2.19,CL,1697670824
183,sinop,41.7711,34.8709,283.02,97,100,1.45,TR,1697670825
184,tolanaro,-25.0319,46.9987,296.0,93,100,1.06,MG,1697670825
185,revda,56.801,59.9303,274.96,86,96,6.27,RU,1697670825
186,port saint john's,-31.6229,29.5448,291.77,80,16,2.72,ZA,1697670826
187,lang son,21.8333,106.7333,294.57,93,100,1.79,VN,1697670827
188,yicheng,31.3705,119.8703,292.56,71,0,0.83,CN,1697670827
189,jayapura,-2.5333,140.7,301.81,72,69,0.96,ID,1697670828
190,awjilah,29.1081,21.2869,295.87,32,3,2.47,LY,1697670828
191,jose maria morelos,23.3952,-103.8984,295.0,27,97,3.78,MX,1697670829
192,oodweyne,9.4092,45.064,296.65,67,76,3.86,SO,1697670829
193,dwarka,22.2394,68.9678,300.03,78,1,5.47,IN,1697670829
194,constantia,44.1833,28.65,280.76,73,2,4.25,RO,1697670830
195,nyurba,63.2842,118.3319,259.88,96,67,2.68,RU,1697670830
196,shawnee,39.05,-95.7669,293.06,52,0,3.6,US,1697670831
197,ulaangom,49.9811,92.0667,275.61,68,0,0.92,MN,1697670831
198,tionk essil,12.7856,-16.5217,300.48,81,91,2.23,SN,1697670831
199,codrington,-38.2667,141.9667,293.65,39,29,5.43,AU,1697670832
200,selkirk,50.1436,-96.8845,288.76,65,96,1.34,CA,1697670832
201,callao,-12.0667,-77.15,297.44,77,75,5.66,PE,1697670567
202,tuapse,44.1125,39.0742,284.19,60,100,1.89,RU,1697670834
203,coronado,32.6859,-117.1831,306.86,73,0,3.58,US,1697670835
204,wailua homesteads,22.0669,-159.378,301.59,64,20,4.12,US,1697670835
205,lihue,21.9789,-159.3672,301.92,63,20,4.12,US,1697670836
206,brookings,44.3114,-96.7984,284.92,82,100,0.89,US,1697670836
207,invercargill,-46.4,168.35,287.05,71,99,8.05,NZ,1697670836
208,jamestown,42.097,-79.2353,284.92,68,100,2.06,US,1697670548
209,peterhead,57.5058,-1.7981,284.37,84,95,13.92,GB,1697670837
210,uliastay,47.7417,96.8444,273.02,76,3,1.24,MN,1697670838
211,howard springs,-12.497,131.047,304.16,58,13,1.38,AU,1697670838
212,vadso,70.0744,29.7487,272.64,74,0,4.12,NO,1697670839
213,boysun,38.2061,67.1986,285.47,53,3,2.37,UZ,1697670839
214,carnarvon,-24.8667,113.6333,295.84,57,90,8.71,AU,1697670674
215,kismayo,-0.3582,42.5454,299.62,83,95,4.34,SO,1697670840
216,minas de marcona,-15.2119,-75.1103,289.04,84,57,5.77,PE,1697670840
217,vilyuysk,63.7553,121.6247,265.37,87,97,4.02,RU,1697670841
218,bengkulu,-3.8004,102.2655,295.93,84,99,1.57,ID,1697670774
219,nar'yan-mar,67.6713,53.087,274.32,89,100,4.02,RU,1697670841
220,labytnangi,66.6572,66.4183,272.68,91,31,4.03,RU,1697670842
221,chimbote,-9.0853,-78.5783,292.81,86,33,4.53,PE,1697670842
222,cikampek,-6.4197,107.4558,298.59,69,100,1.47,ID,1697670843
223,paoua,7.2427,16.4406,295.12,81,88,1.52,CF,1697670843
